0,1,2,3,4,5,6,7,8,9,10,11
47067.0,-0.974,-0.239,0.154,0.946,-0.641,0.061,24.0,-56.0,19.0,1743902278.455479,0.0
47067.0,-0.979,-0.243,0.15,1.007,-0.61,0.061,25.0,-55.0,21.0,1743902278.4554791,0.0
47084.0,-0.979,-0.239,0.143,0.824,-0.183,0.031,25.0,-55.0,20.0,1743902278.5602906,0.0
47084.0,-0.983,-0.238,0.149,0.824,-0.305,0.092,25.0,-55.0,19.0,1743902278.560291,0.0
47084.0,-0.98,-0.241,0.155,0.916,-0.488,0.092,25.0,-54.0,19.0,1743902278.5602913,0.0
47101.0,-0.981,-0.236,0.144,1.038,-0.671,0.031,25.0,-56.0,19.0,1743902278.6613176,0.0
47101.0,-0.976,-0.233,0.145,0.854,-0.305,0.061,25.0,-55.0,20.0,1743902278.661318,0.0
47115.0,-0.977,-0.235,0.146,0.885,-0.244,0.092,25.0,-56.0,19.0,1743902278.7601407,0.0
47115.0,-0.969,-0.242,0.144,0.946,-0.397,0.061,25.0,-56.0,21.0,1743902278.760141,0.0
47115.0,-0.975,-0.243,0.145,0.946,-0.58,0.031,24.0,-55.0,20.0,1743902278.7601411,0.0
47133.0,-0.966,-0.238,0.142,0.946,-0.549,0.061,25.0,-55.0,21.0,1743902278.863858,0.0
47133.0,-0.969,-0.235,0.137,0.824,-0.214,0.092,25.0,-56.0,20.0,1743902278.8638585,0.0
47149.0,-0.968,-0.233,0.141,0.885,-0.366,0.092,25.0,-55.0,20.0,1743902278.9668324,0.0
47149.0,-0.965,-0.234,0.143,0.946,-0.641,0.061,25.0,-55.0,20.0,1743902278.9668329,0.0
47149.0,-0.969,-0.236,0.142,0.885,-0.366,0.092,23.0,-55.0,20.0,1743902278.966833,0.0
47166.0,-0.972,-0.24,0.146,0.854,-0.397,0.092,25.0,-55.0,20.0,1743902279.0651224,0.0
47166.0,-0.975,-0.238,0.148,0.916,-0.366,0.061,25.0,-56.0,19.0,1743902279.0651228,0.0
47180.0,-0.973,-0.236,0.147,0.916,-0.366,0.031,24.0,-56.0,21.0,1743902279.166747,0.0
47180.0,-0.975,-0.236,0.149,1.007,-0.58,0.031,25.0,-55.0,20.0,1743902279.1667476,0.0
47180.0,-0.981,-0.239,0.153,0.946,-0.427,0.092,24.0,-55.0,20.0,1743902279.166748,0.0
47198.0,-0.981,-0.239,0.154,0.885,-0.305,0.092,25.0,-56.0,21.0,1743902279.2675843,0.0
47198.0,-0.979,-0.235,0.148,0.916,-0.519,0.061,25.0,-55.0,21.0,1743902279.2675846,0.0
47214.0,-0.98,-0.239,0.153,0.885,-0.458,0.031,25.0,-55.0,21.0,1743902279.3717086,0.0
47214.0,-0.983,-0.238,0.151,0.854,-0.366,0.031,24.0,-55.0,20.0,1743902279.3717089,0.0
47214.0,-0.973,-0.233,0.143,0.946,-0.397,0.092,25.0,-56.0,21.0,1743902279.3717093,0.0
47231.0,-0.977,-0.234,0.143,0.977,-0.458,0.031,24.0,-55.0,21.0,1743902279.4736557,0.0
47231.0,-0.97,-0.24,0.151,0.885,-0.427,0.061,24.0,-55.0,20.0,1743902279.473656,0.0
47246.0,-0.971,-0.238,0.144,0.916,-0.366,0.061,25.0,-56.0,20.0,1743902279.5754044,0.0
47246.0,-0.969,-0.231,0.143,0.946,-0.519,0.031,24.0,-55.0,20.0,1743902279.575405,0.0
47246.0,-0.969,-0.237,0.149,0.916,-0.397,0.061,25.0,-56.0,19.0,1743902279.575405,0.0
47263.0,-0.97,-0.241,0.144,0.854,-0.244,0.061,24.0,-55.0,21.0,1743902279.675514,0.0
47263.0,-0.972,-0.235,0.144,0.977,-0.519,0.061,25.0,-55.0,21.0,1743902279.6755145,0.0
47279.0,-0.977,-0.235,0.152,0.916,-0.519,0.031,25.0,-56.0,20.0,1743902279.7764444,0.0
47279.0,-0.978,-0.241,0.15,0.824,-0.153,0.061,26.0,-55.0,21.0,1743902279.776445,0.0
47279.0,-0.978,-0.244,0.146,0.946,-0.549,0.061,25.0,-56.0,21.0,1743902279.7764452,0.0
47297.0,-0.981,-0.236,0.151,0.946,-0.488,0.092,26.0,-56.0,19.0,1743902279.8809469,0.0
47297.0,-0.984,-0.238,0.153,0.916,-0.305,0.122,26.0,-55.0,19.0,1743902279.880947,0.0
47297.0,-0.982,-0.241,0.151,0.946,-0.458,0.061,25.0,-54.0,20.0,1743902279.880947,0.0
47314.0,-0.979,-0.236,0.148,0.946,-0.519,0.061,24.0,-55.0,20.0,1743902279.98788,0.0
47314.0,-0.978,-0.241,0.145,0.885,-0.183,0.061,24.0,-55.0,19.0,1743902279.9878802,0.0
